State,2021_unempRate,2020_unempRate
Nebraska,1.9,4.2
Utah,2.2,4.7
Oklahoma,2.7,6.1
Idaho,2.8,5.4
South Dakota,2.8,4.6
Vermont,2.8,5.6
New Hampshire,2.9,6.7
Alabama,3.1,5.9
Georgia,3.1,6.5
Montana,3.1,5.9
Wisconsin,3.2,6.3
Indiana,3.3,7.1
North Dakota,3.3,5.1
Minnesota,3.5,6.2
Virginia,3.6,6.2
Arkansas,3.7,6.1
Missouri,3.7,6.1
Iowa,3.9,5.3
Kansas,3.9,5.9
South Carolina,3.9,6.2
North Carolina,4.1,7.3
Wyoming,4.1,5.8
Kentucky,4.2,6.6
Tennessee,4.2,7.5
West Virginia,4.3,8.3
Oregon,4.4,7.6
Florida,4.6,7.7
Maine,4.9,5.4
Washington,5,8.4
Ohio,5.1,8.1
Arizona,5.2,7.9
Delaware,5.3,7.8
Massachusetts,5.3,8.9
Colorado,5.4,7.3
Louisiana,5.4,8.3
Rhode Island,5.4,9.4
Texas,5.4,7.6
Mississippi,5.5,8.1
Maryland,5.7,6.8
Illinois,6,9.5
Pennsylvania,6,9.1
Alaska,6.1,7.8
Michigan,6.1,9.9
District of Columbia,6.3,8
Hawaii,6.3,11.6
Connecticut,6.4,7.9
New Mexico,6.5,8.4
New York,6.9,10
New Jersey,7,9.8
California,7.3,10.1
Nevada,7.3,12.8