Country/Territory,Recreational,Medical,Notes
Madagascar,Illegal,Illegal,Main article: Cannabis in Madagascar
Malawi,Illegal,Legal[141],Main article: Cannabis in Malawi Illegal but widely used and cultivated; Malawian cannabis is famed internationally for its quality.[142] Chamba is grown mainly in central and northern regions like Mzuzu.[143]
Malaysia,Illegal,Illegal,"Main article: Cannabis in Malaysia Mandatory death penalty for convicted drug traffickers, legally defined as individuals possessing more than 200 g (7 oz) of cannabis.[144]"
Maldives,Illegal,Illegal,Main article: Cannabis in the Maldives
Mali,Illegal,Illegal,Main article: Cannabis in Mali
Malta,Decriminalized up to 3.5 g,Legal,"Main article: Cannabis in Malta On 30 March 2021, Prime Minister Robert Abela announced a proposal to legalize possession of up to 7 grams and the cultivation of up to 4 plants, and for people charged with possession in the past to have it expunged from their criminal records.[145]"
Marshall Islands,Illegal,Illegal,Main article: Cannabis in the Marshall Islands
Mauritania,Illegal,Illegal,Main article: Cannabis in Mauritania
Mauritius,Illegal,Illegal,Main article: Cannabis in Mauritius
Mexico,"Legal for possession, consumption, and cultivation with a permit, but not for sale.[146]","Use is legal, but no system for the dispensing of cannabis exists.","Main article: Cannabis in Mexico Possession of 5 g was decriminalized in 2009.[147] In 2015 the Supreme Court voted 4–1 that prohibiting people from growing the drug for personal use was unconstitutional.[148] In 2018 the Supreme Court reaffirmed the ruling and requested that the legislature update the country's laws regarding cannabis.[149][150] After the legislature failed to act, the Supreme Court in 2021 invalidated laws regarding the personal possession and cultivation of cannabis.[146]"
Micronesia,Illegal,Illegal,Main article: Cannabis in Micronesia
Moldova,Decriminalized,Illegal,Main article: Cannabis in Moldova
Monaco,Illegal,Illegal,Main article: Cannabis in Monaco
Mongolia,Illegal,Illegal,Main article: Cannabis in Mongolia
Montenegro,Illegal,Illegal,Main article: Cannabis in Montenegro
Morocco,Illegal but often unenforced,Legal[151][152],Main article: Cannabis in Morocco Morocco is among the world's top producers of hashish.
Mozambique,Illegal,Illegal,Main article: Cannabis in Mozambique
Myanmar,Illegal but often unenforced,Illegal,Main article: Cannabis in Myanmar
Namibia,Illegal,Illegal,Main article: Cannabis in Namibia Cannabis is illegal; in 2007 the government proposed but declined a 20-year jail sentence for any drug possession.
Nepal,"Illegal,[153] but allowed during Maha Shivaratri[154]",Illegal,Main article: Cannabis in Nepal All cannabis licenses canceled in 1973.[9]
Country/Territory,Recreational,Medical,Notes
Netherlands,Consumption and sale are tolerated in licensed coffeeshops.[6] Possession of up to 5 g is decriminalized. Cultivation of up to 5 plants is unenforced for non-commercial use (unless grown in a professional setup).,Legal,Main article: Cannabis in the Netherlands Personal possession decriminalized and sale allowed only in certain licensed coffeeshops in the continental Netherlands.[155][156][157] Cultivation often tolerated but growers can still have their plants and equipment confiscated[158] and face eviction[159] or cancellation of their mortgage[160] for one single plant.[161] Zero tolerance policy in the Caribbean Netherlands.[162]
New Zealand,Illegal,Legal,"See also: Cannabis in New Zealand Banned in 1927.[163] Possession over 28 g is presumed for supply. Medical use was legalized in 2018.[164] In 2020, a referendum to legalize recreational use failed by a 50.7% to 48.4% margin.[165]"
Nicaragua,Illegal,Illegal,Main article: Cannabis in Nicaragua
Niger,Illegal,Illegal,Main article: Cannabis in Niger
Nigeria,Illegal,Illegal,Main article: Cannabis in Nigeria
North Macedonia,Illegal,Legal,"Main article: Cannabis in North Macedonia If one possesses large amounts, a jail sentence of anywhere from 3 months to 5 years may be given.[166] Medicinal cannabis legalized since 2016.[167]"
Norway,"Illegal, but government has declared intention to decriminalize",Legal[168][169],"Main article: Cannabis in Norway Illegal, but government has been working on a decriminalization bill that would end all sanctions for use of drugs as a whole and possession of up to 10 grams of cannabis. Currently use and possession of up to 15 grams are punished with heavy fines and possible loss of driver's license.[170][171][172] As of April 16th 2021, this bill did not pass parliament. 6 parties voted for, while 3 voted against.[173] Despite this decision, most political parties in Norway will continue to work for a bill that either decriminalizes drugs on a smaller scale or a bill that will legalize cannabis on its own.[174]"
Oman,Illegal,Illegal,Main article: Cannabis in Oman
Pakistan,"Illegal, but often unenforced (particularly in some tribal regions)",CBD only[175],"Main article: Cannabis in Pakistan Prohibited, but the smoking of hashish in Peshawar and the northern parts of Pakistan tends to be tolerated. One may be sent to jail for up to six months if found with charas in other parts of the country.[176] CBD legalized by cabinet announcement in September 2020.[175]"
Palau,Illegal,Illegal,Main article: Cannabis in Palau
Panama,Illegal,Legal[177][178],Main article: Cannabis in Panama
Papua New Guinea,Illegal,Illegal,Main article: Cannabis in Papua New Guinea
Paraguay,Decriminalized up to 10 g,Illegal,Main article: Cannabis in Paraguay The possession of up to 10 g of cannabis is not punishable.[179][180]
Peru,Decriminalized,Legal[181],"Main article: Cannabis in Peru Possession of up to 8 g is not punished.[182][183][184][185] Cultivation, production, and sale are punished with 8–15 years in prison.[186][187]"
Philippines,Illegal,Illegal but may be allowed with special permit,Main article: Cannabis in the Philippines Medical use of cannabis is possible with a special permit from the Food and Drugs Authority for use by individuals with serious or terminal illness.[188]
Poland,"Illegal, but may not be enforced for small amounts, legal below 0.2% THC",Legal,"Main article: Cannabis in Poland Since 2011, prosecutors can choose not to prosecute possession of small quantities of cannabis for personal use if it is a first offense or if the person is drug dependent.[189] Possession of large quantities of drugs can result in up to 10 years in prison.[190]"
Portugal,Decriminalized up to 25 g of herb or 5 g of hashish,Legal,"Main article: Cannabis in Portugal In 2001, Portugal became the first country in the world to decriminalize the use of all drugs.[191]"
Qatar,Illegal,Illegal,Main article: Cannabis in Qatar
Romania,Illegal,Cannabis-derived drugs less than 0.2% THC can be prescribed,Main article: Cannabis in Romania Small quantities punishable by a large fine for first offenders or 6 months to 2 years in prison if the person has been convicted before. Possession of large amounts or trafficking is punishable by 2–7 years of jail time.[192] Decriminalization proposed.[193] Limited medical use approved in 2013.[194][195]
Russia,Illegal,Illegal,"Main article: Cannabis in Russia Possession of up to 6 g of cannabis (or 2 g of hashish) is an administrative offense, punishable by a fine of ₽5,000 or detention of up to 15 days. Possession of larger amounts is a criminal offense. Foreign nationals and stateless individuals who violate the law are subject to deportation regardless of the amount.[196]"
Rwanda,Illegal,Legal[197],Main article: Cannabis in Rwanda
Saint Kitts and Nevis,Decriminalized up to 15 g,Illegal,Main article: Cannabis in Saint Kitts and Nevis
Saint Lucia,Illegal,Illegal,Main article: Cannabis in Saint Lucia
Saint Vincent and the Grenadines,Decriminalized up to 2 oz (57 grams)[198],Legal[199][200][201],Main article: Cannabis in Saint Vincent and the Grenadines
Samoa,Illegal,Illegal,Main article: Cannabis in Samoa
Country/Territory,Recreational,Medical,Notes
San Marino,Illegal,Legal,Main article: Cannabis in San Marino
São Tomé and Príncipe,Illegal,Illegal,Main article: Cannabis in São Tomé and Principe
Saudi Arabia,Illegal,Illegal,"Main article: Cannabis in Saudi Arabia Use and possession for personal use of any kind of recreational drugs is punishable by imprisonment if caught. Imprisonment for personal use can entail jail time of six months or more. Dealing and smuggling high amounts of drugs usually result in harsher prison time or even execution, although recently executions have been rare. Foreigners who use drugs might be deported.[202]"
Senegal,Illegal,Illegal,Main article: Cannabis in Senegal
Serbia,Illegal[203],Illegal,Main article: Cannabis in Serbia Possession punishable by fine or imprisonment of up to 3 years. Sale and transportation punishable by imprisonment of 3–12 years. Cultivation punishable by imprisonment from 6 months to 5 years. Higher penalties for organized crime.[204]
Seychelles,Illegal,Illegal,Main article: Cannabis in Seychelles
Sierra Leone,Illegal,Illegal,Main article: Cannabis in Sierra Leone Cannabis banned in 1920.[205]
Singapore,Illegal,CBD only,"Main article: Cannabis in Singapore Banned in 1870.[206] Cannabis is a Class A drug under the Misuse of Drugs Act, making it illegal to cultivate, sell, or possess. Those who are caught with 500g of cannabis or more are considered drug traffickers and are punished with a possible death penalty.[207][208]  In rare cases, permission has been granted to use cannabis-derived pharmaceuticals for treatment of epilepsy.[209]"
Slovakia,Illegal,Illegal,"Main article: Cannabis in Slovakia Possession of small amounts punishable by up to 8 years in prison.[210][211] In April 2012, The Wall Street Journal reported that Robert Fico, the incoming Slovak prime minister, might push for partial legalization of cannabis possession, and has argued for the legalization of possession of up to three doses of cannabis for personal use.[211]"
Slovenia,Decriminalized,"Sativex, Marinol, CBD[212]","Main article: Cannabis in Slovenia Cannabis-based drugs are legal for medicinal use, but not cannabis itself.[213][214] Possession of any drug for personal use is decriminalized.[215]"
Solomon Islands,Illegal,Illegal,Main article: Cannabis in the Solomon Islands
Somalia,Illegal,Illegal,Main article: Cannabis in Somalia
South Africa,"Legal for possession, cultivation and use in private places but not for sale.","Use is legal, but no system for the dispensing of medicinal cannabis exists.",Main article: Cannabis in South Africa Private use and cultivation have been legal since September 2018.[216][217][218][219]
South Sudan,Illegal,Illegal,Main article: Cannabis in South Sudan
Spain,Decriminalized. Use and possession in private areas allowed for own consumption.[220][221] Public possession or consumption can result in a fine.[222] Cultivation for personal use allowed in private areas including Cannabis Social Clubs.[220],Sativex,"Main article: Cannabis in Spain All actions related to cannabis for own consumption aren't considered criminal offenses,[223] but misdemeanors punishable by a fine.[224] Cannabis trafficking, including sale, import, or cultivation for sale, is punishable by jail time. Legalized in Catalonia in 2017,[225] but that law was challenged by the state and declared unconstitutional.[226] Cultivation in private areas for own consumption is allowed if the plants cannot be seen from the street or other public spaces.[227]"
Sri Lanka,Illegal,Legalized by amendment made in colonial law by 1980s and through the Ayurveda Act.[228],Main article: Cannabis in Sri Lanka The sale of cannabis is decriminalized for traditional medicine vendors and it is commonly used in Ayurvedic traditional medicines.[229]
Sudan,Illegal,Illegal,Main article: Cannabis in Sudan
Suriname,Illegal,Illegal,"Main article: Cannabis in Suriname Cannabis was banned in Suriname in the early 20th century, having been popularized there by Asian immigrants.[230]"
Sweden,Illegal,Legal under limited circumstances for patients who obtain a license.[231],"Main article: Cannabis in Sweden All cannabis-related activity illegal. The national police runs a ""disturb and annoy"" program aimed at users supported by the national ""zero tolerance"" policy.[232][233]"
Switzerland,Decriminalized. Legal below 1.0% THC.,Legal,"Main article: Cannabis in Switzerland Since 2012, possession of 10 g or less is decriminalized to a fine.[234]"
Syria,Illegal,Illegal,"Main article: Cannabis in Syria Reportedly punished by life imprisonment under Bashar al-Assad's government policies. As a result of civil war, people living in areas controlled by Kurdish separatists have begun growing cannabis as a way of making money to fight poverty.[235]"
Taiwan,Illegal,Illegal,"Main article: Cannabis in Taiwan Cannabis is a schedule 2 narcotic in the ROC, and possession can result in up to 3 years imprisonment.[236]"
Tajikistan,Illegal,Illegal,Main article: Cannabis in Tajikistan
Country/Territory,Recreational,Medical,Notes
Tanzania,Illegal,Illegal,Main article: Cannabis in Tanzania
Thailand,Illegal but often unenforced,Legal,"Main article: Cannabis in Thailand Criminalized in 1935.[237] Possession, cultivation, and transport (import/export) of up to 10 kg of cannabis may result in a maximum sentence of 5 years in prison or a fine.[238] Medical use was made legal in 2018.[239]"
Togo,Illegal,Illegal,Main article: Cannabis in Togo
Tonga,Illegal,Illegal,Main article: Cannabis in Tonga
Trinidad and Tobago,"Decriminalized up to 30 g, cultivation of 4 plants per adult",Illegal,Main article: Cannabis in Trinidad and Tobago Banned in 1925.[240] Decriminalized in 2019.[241]
Tunisia,Illegal,Illegal,Main article: Cannabis in Tunisia Banned in 1953.[242] Using or possessing entails 1–5 years of imprisonment and 1000–3000 dinars (around $500–1500).[243][244][245]
Turkey,Illegal,Sativex,"Main article: Cannabis in Turkey Medical cultivation legal in 19 provinces.[246] With permission, this can also be conducted in other provinces as well.[247] Consuming any drug is illegal and requires juridical process. Possessing, purchasing, or receiving any illegal drug is punishable by 1–2 years of prison, treatment, or probation.[248] Sale and supply is punishable by a prison term of 5–10 years, and production or trafficking by a minimum term of 10 years.[248]"
Turkmenistan,Illegal,Illegal,Main article: Cannabis in Turkmenistan
Tuvalu,Illegal,Illegal,Main article: Cannabis in Tuvalu
Uganda,Illegal,Illegal,Main article: Cannabis in Uganda
Ukraine,Illegal,Limited to Dronabinol and Nabiximols,"Main article: Cannabis in Ukraine Possession of up to 5 g or cultivation of 10 plants is an administrative (rather than a criminal) offense, but detention of up to 15 days is still possible.[249] In 2021, some THC- and CBD-containing drugs were approved for medical use.[250]"
United Arab Emirates,Illegal,Illegal,Main article: Cannabis in the United Arab Emirates Even the smallest amounts of the drug can lead to a mandatory 4-year prison sentence.[251]
United Kingdom,"Illegal, but a cannabis warning or an on-the-spot fine (""Penalty Notice for Disorder"") may be issued for simple possession instead of prosecution.[252]",Cannabis-derived medicines are legal only when prescribed by a specialist consultant.[253],Main article: Cannabis in the United Kingdom Banned in 1928.[254] Made a Class B drug under the Misuse of Drugs Act 1971.[255] Limited medical use has been legal since 1 November 2018.[256] Cannabis-derived medicines are only legal when prescribed by a specialist consultant and GPs are not allowed to prescribe cannabis-derived medicines. NHS guidance states that medical cannabis should only be prescribed when there is clear published evidence of its benefit and other treatment options have been exhausted.[253]
United States,"Legalized in 18 states, 2 territories, and the District of Columbia – but illegal at federal level. Decriminalized in another 13 states and 1 territory.See also: Legalization of non-medical cannabis in the United States","Legalized in 36 states, 4 territories, and the District of Columbia – but illegal at federal level.[8]See also: Medical cannabis in the United States","Main articles: Cannabis in the United States and Legality of cannabis by U.S. jurisdiction Cannabis remains a Schedule I drug at federal level, prohibiting even its medical use. The Rohrabacher–Farr amendment prevents federal enforcement in states that have legalized medical, however. No such protections exist regarding recreational, but the federal government has so far generally not intervened. Recognized Indian reservations are allowed to legalize for either use under a policy announced in 2014.[257]"
Uruguay,"Legal, but buying prohibited for foreigners. Cultivation allowed up to six plants.",Legal for all uses.,"Main article: Cannabis in Uruguay Legal since late 2013.[258] Buyers must be eighteen or older, residents of Uruguay, and must register with the authorities. Authorities grow the cannabis that can be sold legally.[259][260][261]"
Uzbekistan,Illegal,Illegal,"Main article: Cannabis in Uzbekistan Opiates, cannabis and other plants containing psychotropic substances are illegal.[262]"
Vanuatu,Illegal,Legal,Main article: Cannabis in Vanuatu
Vatican City,Illegal,Illegal,
Venezuela,Illegal,Illegal,"Main article: Cannabis in Venezuela Possession of up to 20 g of marijuana or 5 g of genetically modified marijuana for commercial purposes is punishable by 1–2 years in prison at judge's discretion. If deemed to be for personal consumption, the user is subject to security measures involving rehabilitation and detoxification procedures.[263]"
Vietnam,Illegal,Illegal,Main article: Cannabis in Vietnam
Yemen,Illegal,Illegal,Main article: Cannabis in Yemen
Zambia,Illegal,Legal,Main article: Cannabis in Zambia
Zimbabwe,Illegal,Legal,Main article: Cannabis in Zimbabwe
Country/Territory,Recreational,Medical,Notes
