Country,gdp,gdpPerCapita
Afghanistan,19.81,553.49
Albania,16.77,5837.18
Algeria,163.812,3638.328
Andorra,3.213,40417.265
Angola,70.339,2200.675
Antigua and Barbuda,1.405,14117.844
Argentina,455.172,9929.154
Armenia,13.612,4594.912
Aruba,2.865,25700.865
Australia,1610.556,62618.587
Austria,481.209,53793.367
Azerbaijan,52.645,5167.377
"Bahamas, The",10.681,27437.197
Bahrain,39.104,26293.947
Bangladesh,355.689,2138.794
Barbados,4.648,16105.128
Belarus,65.754,7032.477
Belgium,581.848,50412.713
Belize,1.909,4457.886
Benin,18.067,1446.829
Bhutan,2.48,3296.106
Bolivia,38.547,3266.69
Bosnia and Herzegovina,21.692,6647.83
Botswana,17.605,7349.884
Brazil,1645.837,7741.153
Brunei Darussalam,15.686,33979.373
Bulgaria,77.907,11331.872
Burkina Faso,19.932,926.2
Burundi,3.193,261.053
Cabo Verde,1.886,3346.553
Cambodia,26.08,1647.019
Cameroon,44.806,1645.807
Canada,2015.983,52791.228
Central African Republic,2.587,525.914
Chad,12.345,729.844
Chile,331.25,16799.367
"China, People's Republic of",16862.98,11891.202
Colombia,300.791,5892.14
Comoros,1.281,1390.061
"Congo, Dem. Rep. of the",54.832,593.558
"Congo, Republic of",12.744,2655.719
Costa Rica,61.46,11860.222
Croatia,63.399,15807.696
Cyprus,26.546,29486.275
Czech Republic,276.914,25806.384
Côte d'Ivoire,68.845,2489.102
Denmark,396.666,67919.585
Djibouti,3.654,3645.5
Dominica,0.571,7777.016
Dominican Republic,89.502,8491.619
Ecuador,104.483,5884.147
Egypt,396.328,3851.746
El Salvador,27.665,4244.299
Equatorial Guinea,12.528,8625.763
Eritrea,2.254,625.974
Estonia,36.039,27100.736
Eswatini,4.517,3965.426
Ethiopia,92.757,939.511
Fiji,4.639,5127.44
Finland,296.016,53522.565
France,2940.428,45028.265
Gabon,18.293,8569.216
"Gambia, The",2.042,819.22
Georgia,17.846,4807.95
Germany,4230.172,50787.859
Ghana,75.487,2413.095
Greece,211.645,19827.162
Grenada,1.083,9575.343
Guatemala,83.305,4542.253
Guinea,16.724,1168.178
Guinea-Bissau,1.592,858.04
Guyana,7.395,9369.011
Haiti,20.143,1691.825
Honduras,26.325,2602.17
Hong Kong SAR,369.722,49485.084
Hungary,180.959,18527.592
Iceland,25.476,68843.646
India,2946.061,2116.444
Indonesia,1150.245,4224.982
Iran,1081.383,12725.042
Iraq,201.472,4892.964
Ireland,516.253,102394.017
Israel,467.532,49840.25
Italy,2120.232,35584.882
Jamaica,14.857,5421.642
Japan,5103.11,40704.304
Jordan,45.344,4393.642
Kazakhstan,194.024,10144.682
Kenya,109.491,2198.593
Kiribati,0.232,1927.077
"Korea, Republic of",1823.852,35195.522
Kosovo,8.958,4986.263
Kuwait,132.266,27927.163
Kyrgyz Republic,8.15,1224.745
Lao P.D.R.,19.375,2625.61
Latvia,37.199,19538.902
Lebanon,33.38,5463.56
Lesotho,2.478,1187.512
Liberia,3.384,703.406
Libya,27.3,4068.611
Lithuania,62.635,22411.646
Luxembourg,83.771,131301.599
Macao SAR,29.223,42106.564
Madagascar,14.101,498.682
Malawi,12.15,565.798
Malaysia,371.114,11124.67
Maldives,4.573,11899.087
Mali,19.563,966.141
Malta,16.695,31996.534
Marshall Islands,0.241,4338.173
Mauritania,9.164,2161.279
Mauritius,10.998,8681.608
Mexico,1285.518,9967.388
"Micronesia, Fed. States of",0.404,3855.223
Moldova,12.396,4791.625
Mongolia,14.28,4185.536
Montenegro,5.494,8837.578
Morocco,126.035,3470.795
Mozambique,15.833,492.273
Myanmar,66.74,1246.318
Namibia,12.213,4693.455
Nauru,0.133,10138.196
Nepal,34.265,1172.638
Netherlands,1007.562,57714.876
New Zealand,247.64,48348.994
Nicaragua,13.397,2047.097
Niger,15.637,622.23
Nigeria,480.482,2272.844
North Macedonia,13.885,6711.734
Norway,445.507,82244.232
Oman,80.611,17632.651
Pakistan,263.69,1465.89
Palau,0.208,11835.178
Panama,60.121,13861.061
Papua New Guinea,26.461,2951.977
Paraguay,36.973,5028.217
Peru,225.858,6676.517
Philippines,385.737,3492.072
Poland,655.332,17318.497
Portugal,251.709,24457.144
Puerto Rico,106.576,34143.272
Qatar,169.184,61790.572
Romania,287.279,14863.887
Russian Federation,1647.568,11273.242
Rwanda,10.395,802.264
Saint Kitts and Nevis,0.976,16917.159
Saint Lucia,1.715,9419.272
Saint Vincent and the Grenadines,0.769,6952.242
Samoa,0.78,3906.413
San Marino,1.728,50934.189
Saudi Arabia,842.588,23762.42
Senegal,27.576,1602.898
Serbia,60.669,8793.836
Seychelles,1.288,13140.368
Sierra Leone,4.407,541.063
Singapore,378.645,66263.418
Slovak Republic,116.748,21383.286
Slovenia,60.89,28939.271
Solomon Islands,1.649,2356.505
Somalia,5.424,350.361
South Africa,415.315,6861.166
"South Sudan, Republic of",3.263,230.132
Spain,1439.958,30536.858
Sri Lanka,80.785,3665.765
Sudan,35.919,789.448
Suriname,2.817,4620.395
Sweden,622.365,58639.194
Switzerland,810.83,93515.484
Syria,65.00,1700.39
São Tomé and Príncipe,0.534,2392.893
Taiwan Province of China,785.589,33401.709
Tajikistan,8.104,839.18
Tanzania,69.238,1159.193
Thailand,546.223,7808.663
Timor-Leste,1.697,1262.722
Togo,8.493,1000.438
Tonga,0.501,5009.784
Trinidad and Tobago,21.599,15352.721
Tunisia,42.733,3555.587
Turkey,795.952,9406.575
Turkmenistan,53.087,8843.868
Tuvalu,0.065,6004.1
Uganda,43.243,1018.436
Ukraine,181.038,4384.237
United Arab Emirates,410.158,43537.689
United Kingdom,3108.416,46200.258
United States,22939.58,69375.375
Uruguay,60.108,16965.081
Uzbekistan,65.503,1901.492
Vanuatu,0.999,3235.205
Venezuela,44.893,1627.353
Vietnam,368.002,3742.858
West Bank and Gaza,17.343,3320.853
Yemen,19.471,585.003
Zambia,21.699,1115.272
Zimbabwe,25.791,1664.758
Africa (Region),2687.173,2028.197
Asia and Pacific,35134.63,8031.335
Australia and New Zealand,1858.196,60248.835
Caribbean,93.434,4839.567
Central America,361.775,5875.007
Central Asia and the Caucasus,1229.249,5824.033
East Asia,24959.53,15315.425
Eastern Europe,3880.569,12232.017
Europe,23498.81,31651.371
Middle East (Region),3523.065,14120.474
North Africa,756.208,3725.876
North America,26347.66,52596.377
Pacific Islands,35.262,3121.219
South America,3243.911,7524.973
South Asia,3722.847,2041.968
Southeast Asia,3329.543,4979.69
Sub-Saharan Africa (Region),1930.965,1721.086
Western Europe,19618.25,46141.079
Western Hemisphere (Region),30046.78,29663.776
ASEAN-5,2821.32,4828.211
Advanced economies,56086.68,52111.461
Emerging and Developing Asia,23288.32,6282.915
Emerging and Developing Europe,4095.052,10795.285
Emerging market and developing economies,38848.44,5845.095
Euro area,14518.47,42346.782
European Union,17078.38,38337.875
Latin America and the Caribbean,4984.638,7777.034
Major advanced economies (G7),42457.92,55163.546
Middle East and Central Asia,4598.192,5420.904
Other advanced economies,8402.036,48199.256
Sub-Saharan Africa,1882.229,1757.113
World,94935.11,12293.133
